customer_id,age,gender,city,plan_type,monthly_bill,data_usage_gb,call_minutes,sms_count,complaints,customer_tenure_months,payment_method,network_quality,support_calls,device_type,churn_status,customer_rating
C10968,28.0,Female,Coimbatore,Basic,1754.72,14.78,1086,33,0,38,UPI,Excellent,3,Android,Yes,2.6
C11001,30.0,Male,Chennai,Standard,1034.83,10.7,136,43,0,80,UPI,Average,1,Feature Phone,No,3.9
C10347,52.0,Female,Trichy,Basic,,54.37,909,40,2,41,UPI,Average,0,Android,No,4.0
C10489,33.0,Female,Hyderabad,Premium,2237.67,22.57,531,52,3,60,UPI,Good,3,Android,Yes,1.9
C11007,26.0,Male,Hyderabad,Basic,2336.63,31.17,282,46,1,61,Auto Pay,Good,1,Android,No,2.4
C10323,38.0,Male,Chennai,Standard,2364.39,27.12,314,49,2,52,Credit Card,Average,2,iPhone,Yes,2.6
C10879,31.0,Female,Trichy,Standard,283.44,18.31,283,37,1,37,Net Banking,Poor,3,iPhone,No,2.4
C10503,54.0,Male,Chennai,Standard,2443.29,11.98,135,47,4,19,Auto Pay,Good,3,Android,No,3.2
C11010,28.0,Female,Kochi,Standard,1897.66,6.27,412,42,0,84,UPI,Average,3,Android,No,4.2
C10825,48.0,Female,Coimbatore,Standard,1824.19,19.62,232,34,3,88,Debit Card,Excellent,0,iPhone,No,2.6
C10971,62.0,Male,Salem,Standard,1938.84,7.02,587,46,0,9,UPI,Excellent,2,Android,Yes,2.9
C10602,,Female,Kochi,Basic,1332.8,11.93,371,49,0,70,Net Banking,Good,2,Android,No,3.8
C10989,53.0,Female,Hyderabad,Unlimited,2077.31,14.07,712,47,2,24,Net Banking,Good,1,Android,No,3.8
C10807,21.0,Female,Kochi,Premium,1690.47,33.09,278,39,1,18,Debit Card,Excellent,2,Android,Yes,3.3
C10685,25.0,Male,,Basic,503.22,10.94,57,48,4,74,Net Banking,Excellent,1,Feature Phone,Yes,2.7
C10132,64.0,Female,Salem,Basic,1131.47,21.13,237,39,1,31,UPI,Poor,2,Android,No,2.2
C10700,44.0,Male,Bengaluru,Unlimited,987.74,10.62,224,49,3,89,UPI,Good,1,Android,No,2.6
C10831,21.0,Female,Salem,Premium,939.76,2.3,398,42,0,95,Debit Card,Good,1,Android,No,4.0
C10537,53.0,Female,Madurai,Basic,1162.0,4.61,487,46,2,37,Auto Pay,Good,2,Android,No,3.3
C10216,61.0,Other,Mumbai,Basic,764.45,22.89,113,47,1,90,Credit Card,Good,1,Android,No,3.8
C10516,63.0,Male,Madurai,Unlimited,1724.24,22.63,247,35,1,52,Net Banking,Excellent,4,iPhone,No,3.3
C10061,57.0,Male,Pune,Standard,476.03,18.92,1027,56,3,8,UPI,Average,3,Android,Yes,3.2
C10917,35.0,Female,Chennai,Standard,963.58,11.96,371,40,2,2,Auto Pay,Poor,0,iPhone,No,2.8
C10455,33.0,Female,Kochi,Standard,918.71,12.92,348,34,0,77,Debit Card,Good,1,Android,No,4.9
C10200,29.0,Male,Pune,Standard,2406.52,17.13,97,59,0,50,UPI,Good,2,Feature Phone,No,3.5
C11119,44.0,Male,Salem,Premium,1430.75,19.72,264,52,0,82,UPI,Average,1,iPhone,No,5.0
C11160,40.0,Male,Trichy,Basic,231.65,26.71,266,42,0,91,Net Banking,Good,0,iPhone,No,4.0
C11109,21.0,Male,Coimbatore,Standard,508.2,11.89,356,43,2,30,UPI,Good,0,Android,No,3.9
C10652,,Male,Salem,Standard,290.57,18.79,484,54,3,3,Debit Card,Average,2,iPhone,No,3.1
C10039,24.0,Female,Chennai,Standard,1878.51,16.77,451,40,2,58,Credit Card,Average,3,Android,No,3.3
C10679,40.0,Female,Chennai,Standard,1660.98,27.13,151,48,4,13,Auto Pay,Excellent,5,iPhone,Yes,1.7
C10507,50.0,Male,Trichy,Unlimited,1396.25,24.43,300,47,1,63,UPI,Average,3,Android,No,3.7
C10110,59.0,Female,Chennai,Unlimited,528.98,17.71,27,46,0,79,Auto Pay,Excellent,2,Android,No,3.4
C10073,53.0,Male,Madurai,Unlimited,1120.62,27.76,146,43,1,54,Auto Pay,Good,1,Feature Phone,No,3.7
C10842,35.0,Male,Bengaluru,Premium,1869.0,6.78,205,46,0,63,UPI,Good,2,Android,No,4.6
C10406,23.0,Female,Bengaluru,Unlimited,1359.25,12.24,304,47,3,46,UPI,Good,2,Android,No,2.7
C10245,49.0,Female,Coimbatore,Premium,1456.94,7.17,80,43,0,85,Net Banking,Excellent,2,iPhone,No,4.1
C10111,56.0,Female,Trichy,Basic,547.32,12.98,220,41,0,14,Auto Pay,Average,1,iPhone,No,4.6
C10434,43.0,Female,Mumbai,Premium,2170.63,20.83,851,44,3,34,UPI,Excellent,3,Android,No,2.8
C10981,29.0,Male,Kochi,Basic,498.81,6.9,304,29,4,91,Auto Pay,Good,2,Android,Yes,1.9
C10729,42.0,Male,Bengaluru,Standard,2306.93,23.58,601,46,3,17,Credit Card,Good,1,iPhone,Yes,3.4
C10625,42.0,Female,Madurai,Basic,2163.07,9.24,210,52,2,78,Auto Pay,Good,3,iPhone,Yes,2.4
C10154,56.0,Male,Hyderabad,Standard,1216.93,7.34,278,38,0,66,Debit Card,Excellent,2,Android,Yes,3.6
C10716,19.0,Male,Bengaluru,Standard,482.47,10.33,260,46,1,63,UPI,Average,4,Android,No,1.6
C10642,45.0,Female,Hyderabad,Premium,912.71,12.33,303,43,1,4,UPI,Average,2,iPhone,No,2.7
C10046,31.0,Female,Salem,Premium,1023.83,26.13,387,27,1,28,Net Banking,Excellent,3,iPhone,No,3.6
C10799,50.0,Male,Chennai,Basic,551.23,31.0,587,46,0,76,UPI,Good,1,iPhone,No,4.5
C10846,38.0,Male,Madurai,Premium,1497.16,4.83,395,42,3,73,Net Banking,Excellent,2,Feature Phone,No,3.0
C11086,54.0,Female,Trichy,Standard,884.08,26.78,141,49,0,45,Debit Card,Excellent,0,Android,Yes,4.0
C10314,63.0,Female,Kochi,Standard,1577.39,29.16,322,55,1,53,Net Banking,Average,3,Feature Phone,No,4.0
C10321,44.0,Male,Coimbatore,Basic,254.08,22.99,244,42,1,71,Debit Card,Good,2,Feature Phone,No,3.7
C10173,37.0,Other,Coimbatore,Standard,624.13,13.65,445,47,1,87,Net Banking,Good,3,Android,Yes,3.2
C11079,47.0,Female,Bengaluru,Basic,1378.02,8.54,366,46,1,36,Net Banking,Excellent,1,Android,Yes,4.1
C10292,35.0,Female,Coimbatore,Standard,1564.7,,351,36,2,85,,Average,2,Android,No,2.9
C10814,22.0,Male,Bengaluru,Standard,1104.36,14.3,600,58,0,59,UPI,Good,2,Android,No,3.9
C10175,28.0,Male,Pune,Basic,1589.03,25.37,333,28,2,26,UPI,Excellent,1,iPhone,No,3.8
C10124,61.0,Male,Mumbai,Premium,836.26,7.32,269,53,1,88,Debit Card,Average,2,iPhone,Yes,3.8
C10582,38.0,Male,Hyderabad,Premium,1823.66,7.7,186,57,0,71,UPI,Good,2,iPhone,Yes,3.7
C10626,62.0,Other,Pune,Standard,229.43,5.05,621,40,3,52,UPI,Good,3,iPhone,No,2.9
C10040,38.0,Male,Trichy,Unlimited,1038.09,12.36,338,50,1,64,UPI,Average,1,Android,No,2.7
C11124,57.0,Female,,Standard,971.38,28.29,320,43,2,60,Debit Card,Good,3,iPhone,No,3.4
C10904,39.0,Female,Salem,Premium,282.86,28.15,182,43,1,66,Debit Card,Good,3,iPhone,No,2.9
C11117,43.0,Female,Hyderabad,Basic,2253.6,22.73,264,42,3,46,UPI,Average,2,Feature Phone,Yes,2.0
C10284,55.0,Female,Hyderabad,Standard,2285.2,18.22,273,52,0,24,Credit Card,,1,Feature Phone,No,3.8
C11083,46.0,Male,Madurai,Premium,900.28,14.46,457,44,1,23,UPI,Good,1,Android,Yes,3.6
C10235,33.0,Male,Chennai,Basic,2399.46,44.65,217,35,4,38,Debit Card,Excellent,0,Android,No,3.2
C10338,63.0,Female,Mumbai,Premium,2062.37,10.55,293,42,3,33,UPI,Good,2,Android,Yes,2.3
C10150,21.0,Male,Hyderabad,Premium,1577.76,8.61,79,45,2,19,UPI,Good,1,Android,No,2.4
C10404,39.0,Female,Hyderabad,Standard,1521.64,12.39,310,44,2,1,Net Banking,Good,4,Android,Yes,2.3
C10267,29.0,Male,Coimbatore,Basic,2048.58,16.12,205,46,2,15,Credit Card,Average,2,Android,Yes,2.6
C11080,56.0,Male,Mumbai,Basic,868.02,17.65,406,39,0,3,UPI,Excellent,3,Android,No,3.4
C10205,34.0,Female,Hyderabad,Unlimited,1443.92,5.62,721,50,0,61,Credit Card,Average,1,Android,No,4.1
C10361,41.0,Male,Kochi,Basic,1692.57,8.09,361,46,3,79,UPI,Good,0,iPhone,Yes,2.9
